Dialect_Word,SAE_Word,Dialect_Prompt,SAE_Prompt,dialect_word_count,person_in_prompt
saloon,sedan,a saloon parked in the driveway,a sedan parked in the driveway,1,0
bonnet,hood,a boy sitting on the bonnet of the car,a boy sitting on the hood of the car,1,1
bonnet,hood,a car with a red bonnet,a car with a red hood,1,0
bonnet,hood,a car at a repair shop with an open hood,a car at a repair shop with an open hood,1,0
bonnet,hood,a bonnet with a company logo,a hood with a company logo,1,0
coriander,cilantro,a woman chopping coriander in the kitchen,a woman chopping cilantro in the kitchen,1,1
coriander,cilantro,corainder at the supermarket,cilantro at the supermarket,1,0
coriander,cilantro,corainder sprinked on top of pasta,cilantro sprinked on top of pasta,1,0
coriander,cilantro,coriander garnishing a curry,cilantro garnishing a curry,1,0
courgette,zucchini,a man slicing a courgette in the kitchen,a man slicing a zucchini in the kitchen,1,1
courgette,zucchini,a woman picking a courgette at the market,a woman picking a zucchini at the market,1,1
courgette,zucchini,a large basket of courgettes,a large basket of zucchinis,1,0
courgette,zucchini,a courgette in a vegetable garden,a zucchini in a vegetable garden,1,0
tube,subway,a crowd of people waiting for the tube,a crowd of people waiting for the subway,1,1
tube,subway,a tube station,a subway station,1,0
tube,subway,a man sitting inside the tube,a man sitting inside the subway,1,1
tube,subway,a tube train arriving,a subway train arriving,1,0
aubergine,eggplant,a grandma slicing an aubergine in the kitchen,a grandma slicing an eggplant in the kitchen,1,1
aubergine,eggplant,a large basket of aubergines,a large basket of eggplants,1,0
aubergine,eggplant,a man picking an aubergine at the market,a man picking an eggplant at the market,1,1
aubergine,eggplant,an aubergine in the supermarket,an eggplant in the supermarket,1,0
